#127.0.0.1 activation.acronis.com #Acronis Licensing server
#127.0.0.1 cap.cyberlink.com #PowerDVD
#127.0.0.1 activation.cyberlink.com #PowerDVD
127.0.0.1 r4---sn-vgqs7nez.googlevideo.com #Youtube
127.0.0.1 r4.sn-vgqs7nez.googlevideo.com #Youtube
127.0.0.1 youtube-ui.l.google.com #Youtube
127.0.0.1 i1.ytimg.com #Youtube
127.0.0.1 r17---sn-vgqsenes.googlevideo.com #Youtube
127.0.0.1 r2---sn-vgqs7n7k.googlevideo.com #Youtube
127.0.0.1 clients6.google.com #Youtube
127.0.0.1 r1---sn-vgqsen7z.googlevideo.com #Youtube
127.0.0.1 r1.sn-vgqsen7z.googlevideo.com #Youtube
127.0.0.1 r20---sn-vgqs7ne7.googlevideo.com #Youtube
127.0.0.1 r20.sn-vgqs7ne7.googlevideo.com #Youtube
127.0.0.1 activate.adobe.com #Photoshop
127.0.0.1 practivate.adobe.com #Photoshop
127.0.0.1 lmlicenses.wip4.adobe.com #Photoshop
127.0.0.1 lm.licenses.adobe.com #Photoshop
127.0.0.1 bci-ads.blockchain.info #Blockchain.info
127.0.0.1 buysellads.com
